user_id,name,birth_date,registration_date,country,city
1,Andre Bryant,1985-09-25,2018-06-25,PT,Amadora
2,Russell Rose,2004-02-25,2019-12-28,SE,Stockholm
3,Dana Warren,1954-10-22,2019-11-24,MT,Mosta
4,Dr. Brent Green MD,1993-07-31,2021-09-26,LT,Kaunas
5,Carrie Moran,1977-10-12,2011-07-26,FI,Tampere
6,Kelli Nielsen,1963-06-12,2013-12-29,ES,Valencia
7,Sara Garcia,1946-08-10,2019-10-22,PT,Lisbon
8,Misty Mcdonald,1996-09-06,2016-09-17,EE,Tartu
9,Michael Jones,1988-04-26,2017-06-14,IE,Cork
10,Elizabeth Torres,1992-12-10,2012-06-03,CY,Limassol
11,Rodney Bradley,1979-04-18,2011-12-15,BG,Plovdiv
12,David Mann,1997-04-17,2012-08-29,BE,Brussels
13,Louis Scott,1990-02-15,2023-05-05,NL,Rotterdam
14,Jennifer Olsen,1962-01-08,2015-09-17,UA,Kyiv
15,Heidi Wang,1975-12-14,2022-10-25,IE,Limerick
16,Javier Kline,1960-10-12,2014-12-28,FR,Paris
17,Dr. Julia Ramos DDS,1944-07-21,2012-09-03,GR,Patras
18,Nicole Padilla,1965-05-25,2019-05-31,BE,Ghent
19,Penny Cervantes,1949-02-26,2016-06-02,HR,Zagreb
20,Joan Clark,1958-02-23,2015-11-07,LT,Klaipeda
21,Tammy Bradley,1975-04-27,2013-10-28,GB,Manchester
22,Taylor Mcdonald,1986-09-17,2014-05-30,BE,Antwerp
23,Michelle Richardson,1946-05-31,2019-04-08,LV,Riga
24,Taylor Cross,1970-05-02,2020-06-20,BG,Sofia
25,Christopher Olsen,1988-03-10,2017-02-04,ES,Madrid
26,Ashley Robertson,1983-08-16,2016-05-14,PL,Gdansk
27,Amanda Travis,2002-08-04,2012-10-16,BE,Ghent
28,Mrs. Andrea Lopez,1977-06-24,2023-07-28,IE,Dublin
29,Mr. John Fisher Jr.,1984-01-05,2017-07-01,FR,Marseille
30,Kristen Rodriguez,1948-05-21,2013-09-12,RU,Novosibirsk
31,Jennifer Clark,1958-03-12,2018-01-20,LV,Liepaja
32,Mrs. Ariel Rivera DVM,1971-03-11,2014-12-15,RO,Cluj-Napoca
33,Matthew Conley,1973-11-17,2019-03-29,RO,Timișoara
34,Ricardo Scott,1999-10-04,2016-12-16,GR,Thessaloniki
35,Rhonda Petty,1960-04-07,2015-02-22,AT,Linz
36,Dr. Nicholas Cummings,2002-10-09,2019-10-01,GB,Birmingham
37,Brandon Mitchell,1985-01-13,2017-09-24,PT,Porto
38,Alyssa Snyder,1988-10-16,2013-05-10,DK,Odense
39,Amanda Walker,2003-04-05,2021-08-15,EE,Narva
40,Gregory Campbell,1972-09-04,2015-07-02,CH,Basel
41,Scott Kelly,1991-03-24,2013-12-01,DK,Odense
42,Erica Suarez,1982-10-08,2013-02-14,IE,Dublin
43,Kristen Wilson,1962-09-04,2012-09-18,IS,Reykjavik
44,Beth Reilly,1975-10-11,2012-11-14,RU,Saint Petersburg
45,Veronica Hanson,1945-03-31,2018-02-27,RO,Cluj-Napoca
46,Nicole Rodriguez,1977-03-10,2022-11-29,CH,Zurich
47,Marcus Payne,2000-05-23,2016-04-26,IS,Reykjavik
48,Gabrielle Hammond,1986-05-21,2019-11-17,LU,Esch-sur-Alzette
49,Jon Woods,2003-01-19,2018-12-04,FI,Helsinki
50,Charles Mcmillan,1994-11-30,2022-05-13,PL,Gdansk
51,Scott Marquez,1992-02-16,2013-12-26,AL,Vlorë
52,Mandy Hudson,2004-06-24,2013-08-07,LT,Kaunas
53,Tina Hawkins,1961-04-27,2014-08-11,FR,Paris
54,Mr. Victor Hood,1977-04-10,2016-06-13,NO,Bergen
55,Melissa West,1947-01-21,2021-07-20,SE,Malmö
56,Victoria Jimenez,2003-05-28,2022-06-30,GB,Manchester
57,Isabel Miller,1973-04-17,2017-06-08,MT,Valletta
58,Sheri Smith,1984-10-19,2016-07-14,SI,Celje
59,Jared Reid,1954-02-13,2018-07-07,DE,Hamburg
60,Kimberly Foster,1999-11-18,2020-06-03,IS,Hafnarfjordur
61,Zachary Best,1956-11-23,2018-05-05,IS,Kopavogur
62,Victoria Estrada,1944-09-24,2021-02-08,PT,Lisbon
63,Jane Ewing,1952-08-09,2023-06-25,BG,Plovdiv
64,Jesus Owen,1986-11-29,2023-09-11,NL,Amsterdam
65,Heather Jennings,1965-02-26,2019-01-12,IE,Cork
66,Angel Frye,1986-08-13,2014-01-28,GB,Birmingham
67,Jared Phillips,1961-01-27,2010-01-22,CH,Zurich
68,David Bartlett,2002-07-26,2018-10-28,NO,Bergen
69,Tamara Snyder,1966-06-12,2021-05-15,MT,Valletta
70,Tara Alvarado,1945-12-03,2019-11-23,LV,Daugavpils
71,Michael Gonzalez,1948-12-19,2014-01-11,IS,Hafnarfjordur
72,Mr. Travis Love PhD,1996-09-16,2023-02-09,ES,Barcelona
73,Angelica Ramos,1987-06-09,2023-04-16,PT,Lisbon
74,Mrs. Elizabeth Butler,1998-11-13,2016-04-26,HR,Rijeka
